,price,total_square,floor
0,63000000,137.0,6
2,16004680,76.0,6
3,7841776,24.0,10
4,120000000,126.0,16
5,13300000,74.0,14
6,9500000,65.0,3
7,15000000,87.0,11
8,7135671,35.8,11
9,31500000,68.3,4
10,20700000,74.7,14
11,13442826,51.9,21
12,14000000,53.0,14
13,7200000,34.8,16
14,11800000,50.0,12
15,7550000,42.0,8
16,111264064,107.0,2
17,65000000,97.0,4
18,37569823,140.1,12
19,9700000,36.0,11
20,11500000,42.0,10
21,8800000,52.0,3
22,20640000,37.48,17
23,27500000,114.6,6
24,11500000,45.3,2
25,18900000,59.7,3
27,15700000,92.8,4
28,23123514,66.9,19
29,12500000,75.0,7
30,11218713,39.16,24
31,15000000,52.4,5
32,65000000,142.0,3
34,11300000,37.1,8
35,10260000,54.0,2
36,19362780,62.1,20
37,25856480,64.48,19
38,50000000,120.0,24
39,12925115,35.0,7
40,6600000,39.2,12
42,13550000,63.1,4
43,22050000,46.07,5
44,10200000,34.0,8
45,8300000,38.5,8
46,13500000,68.0,3
47,12212640,55.8,21
48,14400000,86.5,12
49,24105540,47.8,2
50,18300000,73.0,5
51,14675000,81.0,19
52,30142700,40.46,9
53,8600000,31.0,9
54,10788015,34.9,13
55,46850000,70.2,19
56,8900000,34.5,2
57,14500000,89.9,1
58,17900000,105.5,2
59,15700000,66.2,9
60,19260000,38.61,11
61,15500000,32.0,11
62,16500000,68.4,4
64,28500000,67.7,8
65,14523000,44.4,3
66,68931120,57.0,2
67,6400000,29.7,2
68,14139310,73.8,16
69,18192360,45.49,20
70,9700000,38.0,14
71,6600000,34.0,10
72,17500000,55.9,12
73,6650384,54.44,19
74,73000000,129.6,8
75,10900000,33.0,6
76,35000000,100.5,2
77,10569641,25.8,30
79,17097300,82.5,7
80,10307606,25.2,14
81,59000000,118.5,2
82,33200000,81.4,4
83,12490000,40.2,2
84,27487880,102.0,32
85,10200000,35.0,5
86,8199999,43.0,5
87,15000000,40.5,9
88,30904483,58.9,7
89,15000000,87.1,2
90,13000000,40.0,18
91,9400000,50.9,6
92,38700000,97.0,29
93,34200000,75.38,12
94,14054274,44.2,15
96,7500000,38.3,24
99,59725032,107.0,7
100,41020512,71.0,8
101,7000000,39.8,10
102,13300000,68.5,2
103,12800000,50.2,7
104,8999900,45.0,19
105,13430348,59.01,6
107,33000000,101.1,9
108,5487560,31.78,14
109,99000000,144.0,21
110,64900000,120.9,3
111,73000000,104.0,16
112,13817440,40.88,3
113,13600000,85.4,12
114,23000000,104.5,7
115,14093644,54.0,6
116,11800000,37.2,14
117,50000000,84.5,2
118,30818150,69.0,12
119,15000000,45.0,2
120,10050000,44.7,1
121,43900000,130.0,16
122,13200000,50.4,4
123,9500000,62.3,9
124,26000000,77.0,7
125,20000000,64.0,4
126,9450000,64.8,12
127,7100000,58.6,5
129,5500000,37.0,3
130,23836800,62.4,38
131,14480000,64.1,1
132,35897600,79.0,29
133,10423970,37.0,14
134,18300000,40.72,4
135,21600000,61.5,8
137,30384875,84.5,2
138,9890000,32.8,7
139,12750000,40.0,14
140,28745640,76.86,8
141,14400000,41.7,4
142,12300000,64.0,10
143,16500000,72.0,3
144,7800000,30.2,2
146,10099999,35.7,2
147,49900000,87.6,14
149,13169486,37.92,19
150,32000000,48.0,11
152,22000000,54.0,1
153,12081480,25.0,38
154,8200000,65.1,6
155,8950000,53.0,16
156,28215000,51.3,2
157,20800000,69.6,6
158,13900000,32.0,4
159,9701054,36.4,15
160,41565498,72.7,25
161,9836852,39.1,23
162,9851047,25.1,20
163,22800000,78.0,13
164,25418400,45.0,37
165,10498999,41.4,2
166,15319646,63.03,18
167,11700000,60.0,6
168,13600000,44.4,3
169,9750000,25.61,5
170,42475952,99.0,11
171,11299000,65.0,13
